symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_windows
GBPUSD,H4,MeanReversion,"window=100,z=1.75",0.08775804155726286,0.5129118432769367,0.3094233132934213,1.1229454508780583,1128,True,4,5
GBPUSD,H4,MeanReversion,"window=50,z=2.0",0.09661726349935307,0.534375,0.4483211165797035,1.2463349884986485,642,True,5,5
GBPUSD,H4,MeanReversion,"window=100,z=2.0",0.05154741040823285,0.5108695652173914,0.21657045006086775,1.1070426815609709,738,True,4,5
GBPUSD,H4,MeanReversion,"window=50,z=2.25",0.08273161206171009,0.5714285714285714,0.5560733265791158,1.4478174503253887,349,True,4,5
GBPUSD,H4,MeanReversion,"window=50,z=2.5",0.02413826591352397,0.5443786982248521,0.21440941744427025,1.233891335820181,168,True,4,5
GBPUSD,H4,MeanReversion,"window=100,z=2.5",0.03550932133966733,0.52,0.251550786628959,1.2322252438914973,249,True,4,5
GBPUSD,M15,MeanReversion,"window=20,z=1.5",0.04162381718479835,0.5396253602305475,0.5508656959083612,1.214485297409878,1407,True,5,5
GBPUSD,M15,MeanReversion,"window=50,z=1.5",0.026467160957428293,0.5230446927374302,0.3396944000297898,1.1244356627913168,1450,True,4,5
GBPUSD,M15,MeanReversion,"window=20,z=1.75",0.03033692256575482,0.538037486218302,0.46779484638848606,1.232783169342794,920,True,5,5
GBPUSD,M15,MeanReversion,"window=50,z=1.75",0.014917682634402185,0.521025641025641,0.2353000235150798,1.0979512549141872,985,True,4,5
GBPUSD,M15,MeanReversion,"window=20,z=2.0",0.02771622227605053,0.55,0.5259994115582555,1.3721095312599738,546,True,5,5
GBPUSD,M15,MeanReversion,"window=50,z=2.0",0.025681430408899142,0.5529595015576324,0.47490875801940685,1.2648195934565012,650,True,5,5
GBPUSD,M15,MeanReversion,"window=100,z=2.0",0.008410489102080865,0.5088235294117647,0.15074205210169,1.072725654556792,684,True,4,5
GBPUSD,M15,MeanReversion,"window=50,z=2.25",0.009452978835871595,0.5515463917525774,0.21819495980248824,1.1462814753938044,394,True,5,5
GBPUSD,M15,MeanReversion,"window=100,z=2.25",0.013614334435269715,0.5294117647058824,0.2913337474988404,1.182440628453203,441,True,5,5
GBPUSD,M15,MeanReversion,"window=100,z=2.5",0.009404525559746357,0.5522388059701493,0.2773880507622751,1.2165639220498754,267,True,4,5
GBPUSD,M15,TrendFollowing,"fast=50,slow=200",-0.013951785086232293,0.4984752998576947,-0.10876080288612641,0.9802587555939801,4999,True,4,5
GOLD,H1,MeanReversion,"window=20,z=1.5",-0.07410260925732093,0.4978723404255319,-0.15641014002978937,0.9475403190762829,1409,True,4,5
GOLD,H1,MeanReversion,"window=20,z=1.75",-0.034903419176644634,0.49461206896551724,-0.0879073517462926,0.9637868107791535,927,True,4,5
GOLD,H1,MeanReversion,"window=20,z=2.5",0.005176922526254346,0.5119047619047619,0.028317894276159352,1.027325392086989,167,True,4,5
GOLD,H1,MeanReversion,"window=20,z=2.75",0.026623792676643387,0.5,0.20460066732545096,1.3006488562344676,83,True,4,5
GOLD,H1,TrendFollowing,"fast=5,slow=20",0.21214251743005996,0.5073073073073073,0.26511783436584363,1.0499849402770698,4999,True,4,5
GOLD,H1,TrendFollowing,"fast=34,slow=89",0.28205753242276455,0.5187187187187187,0.352529480842836,1.0670102313327265,4999,True,4,5
GOLD,H1,VolatilityExpansion,"ema=50,mult=2.0",0.22854615309107074,0.5210004719207173,0.41383070960107354,1.1241363793389514,2120,True,4,5
GOLD,H4,MeanReversion,"window=50,z=1.5",-0.21148574801147912,0.49070631970260226,-0.30266970572362983,0.9074950972624858,1614,True,4,5
GOLD,H4,MeanReversion,"window=50,z=1.75",-0.11075044618667218,0.48322756119673616,-0.19392388153505427,0.9283774645306284,1103,True,4,5
GOLD,H4,MeanReversion,"window=20,z=2.5",0.013487594480738552,0.4883720930232558,0.055204682123584245,1.058315714304496,171,True,4,5
GOLD,H4,VolatilityExpansion,"ema=20,mult=2.5",0.07367982188783095,0.5,0.2005939895837156,1.1212423094456159,469,True,4,5
GOLD,M15,MeanReversion,"window=20,z=2.25",0.03969186713517625,0.551622418879056,0.2751151061712085,1.2044693764319174,338,True,4,5
GOLD,M15,MeanReversion,"window=20,z=2.5",0.0342203746418821,0.5478723404255319,0.31554601947779254,1.31951849017958,187,True,4,5
GOLD,M15,MeanReversion,"window=50,z=2.75",0.009248019483472869,0.525974025974026,0.08317986504043574,1.086878438939619,153,True,4,5
US100Cash,H1,MeanReversion,"window=50,z=2.0",0.0361648528974956,0.5051244509516838,0.08696519915152248,1.055726340583253,682,True,4,5
US100Cash,H1,MeanReversion,"window=50,z=2.25",0.045730546017757945,0.5167095115681234,0.14897173465433042,1.1166188568851119,388,True,4,5
US100Cash,H1,MeanReversion,"window=50,z=2.5",0.02724520534737751,0.5118110236220472,0.09599409227279174,1.0925158615382282,253,True,4,5
US100Cash,H1,MeanReversion,"window=50,z=2.75",0.039237774858665087,0.5063291139240507,0.18798306516036786,1.2247482021108957,157,True,4,5
US100Cash,H1,TrendFollowing,"fast=21,slow=55",-0.1594568825070094,0.5086206896551724,-0.1631678656730024,0.9624057682520016,4999,True,4,5
US100Cash,H1,TrendFollowing,"fast=34,slow=89",-0.0028463532989048135,0.5126303127506014,-0.0029124416371087234,0.9993163096541289,4999,True,4,5
US100Cash,H4,TrendFollowing,"fast=10,slow=30",-0.30331938886729337,0.5040032025620497,-0.1777402077350793,0.9636531525494737,4999,True,4,5
US100Cash,H4,TrendFollowing,"fast=13,slow=34",-0.4702241052461418,0.49939951961569257,-0.2755678908130366,0.9442108121133659,4999,True,4,5
US100Cash,H4,TrendFollowing,"fast=21,slow=55",-0.25808312400251876,0.5068054443554844,-0.15122987826006684,0.968989778702278,4999,True,4,5
US100Cash,H4,VolatilityExpansion,"ema=20,mult=1.5",0.06239752663491871,0.5070806100217865,0.06780629393852881,1.0227648110977472,1836,True,4,5
US100Cash,H4,VolatilityExpansion,"ema=50,mult=1.5",-0.05429616335718923,0.5067634444077862,-0.04316638782432775,0.9886109141601477,3032,True,4,5
US100Cash,H4,VolatilityExpansion,"ema=20,mult=2.0",-0.0703953602092372,0.49953574744661094,-0.09660046434249756,0.9574724898638554,1077,True,4,5
US100Cash,H4,VolatilityExpansion,"ema=50,mult=2.0",-0.08474546260134652,0.5061174551386624,-0.07818258762092944,0.9775396672381939,2452,True,4,5
US100Cash,H4,VolatilityExpansion,"ema=20,mult=3.0",-0.032089170058224425,0.5213414634146342,-0.07255301655383282,0.935211472083968,327,True,4,5
US100Cash,H4,VolatilityExpansion,"ema=50,mult=3.0",-0.0006667228701038308,0.5070028011204482,-0.0008700679877156545,0.9996637040606952,1428,True,4,5
US100Cash,M15,TrendFollowing,"fast=5,slow=20",0.056156066102773905,0.5072318200080354,0.15219883339405713,1.0317794439187853,4999,True,4,5
US100Cash,M15,TrendFollowing,"fast=13,slow=34",0.027903376768721677,0.5054238650060265,0.07562343066950984,1.015665646131831,4999,True,4,5
US100Cash,M15,VolatilityExpansion,"ema=20,mult=2.0",-0.007187144342348684,0.4964871194379391,-0.0400816435400056,0.9802858649813646,858,True,4,5
