symbol,signals,wins,losses,win_rate,net_pips,expectancy
KLA,97,34,63,35.051546391752574,-621928.5714285667,-6411.634756995533
AvisBudget,89,26,63,29.213483146067414,-571371.4285714303,-6419.903691813824
HomeDepot,94,30,64,31.914893617021278,-605714.2857142839,-6443.768996960467
Progressive,98,28,70,28.57142857142857,-632914.2857142852,-6458.30903790087
Autoliv,111,37,74,33.33333333333333,-728657.1428571427,-6564.478764478763
CME,97,28,69,28.865979381443296,-640071.4285714286,-6598.674521354935
GAUCNH,80,25,55,31.25,-544285.7142857144,-6803.57142857143
Equinix,88,31,57,35.22727272727273,-601842.8571428598,-6839.123376623407
Amazon_turbo,109,32,77,29.357798165137616,-767828.5714285711,-7044.298820445607
Thales,98,28,70,28.57142857142857,-707814.2857142865,-7222.594752186596
Credicorp,101,33,68,32.67326732673268,-736657.142857143,-7293.635077793495
AMETEK,102,28,74,27.450980392156865,-756928.5714285718,-7420.868347338939
Waters,100,34,66,34.0,-750071.4285714306,-7500.714285714306
Vertex,94,31,63,32.97872340425532,-740699.9999999974,-7879.787234042526
ServiceNow,90,24,66,26.666666666666668,-714557.1428571431,-7939.523809523812
Kering,99,29,70,29.292929292929294,-787228.5714285717,-7951.8037518037545
Swisscom,103,30,73,29.126213592233007,-846600.0,-8219.417475728156
Google_turbo,93,27,66,29.03225806451613,-765600.0000000028,-8232.25806451616
FirstSolar,92,30,62,32.608695652173914,-778471.4285714307,-8461.645962732942
IDEXX,101,37,64,36.633663366336634,-858014.2857142885,-8495.190947666222
NETH25Cash,91,26,65,28.57142857142857,-793228.5714285778,-8716.79748822613
Pioneer,92,23,69,25.0,-803799.9999999991,-8736.956521739121
Accenture,88,25,63,28.40909090909091,-775314.2857142846,-8810.389610389599
Diamondback,94,25,69,26.595744680851062,-828257.1428571438,-8811.246200607913
Watsco,103,34,69,33.00970873786408,-957300.0000000009,-9294.174757281562
Teledyne,88,30,58,34.090909090909086,-864328.5714285705,-9821.915584415574
GerTech30Cash,90,32,58,35.55555555555556,-931214.2857142751,-10346.82539682528
Zscaler,103,30,73,29.126213592233007,-1091671.4285714293,-10598.751733703197
Vulcan,87,26,61,29.88505747126437,-939871.4285714295,-10803.11986863712
Veeva,88,24,64,27.27272727272727,-971028.5714285695,-11034.415584415563
Robinhood,111,31,80,27.927927927927925,-1247257.1428571427,-11236.550836550836
Expedia,89,26,63,29.213483146067414,-1017599.9999999983,-11433.70786516852
HowmetAerospace,89,22,67,24.719101123595504,-1069542.8571428575,-12017.335473515253
Rockwell,103,29,74,28.155339805825243,-1297485.714285713,-12596.948682385562
AstraZeneca,82,27,55,32.926829268292686,-1097885.714285711,-13388.850174215988
Seagate,99,27,72,27.27272727272727,-1328857.142857139,-13422.799422799384
WestPharmaceutical,86,25,61,29.069767441860467,-1166257.1428571432,-13561.129568106317
ChinaInternet,97,31,66,31.958762886597935,-1321585.714285703,-13624.594992636112
Crypto_10,106,38,68,35.84905660377358,-1482099.999999967,-13982.0754716978
Eaton,95,26,69,27.368421052631582,-1330685.7142857143,-14007.218045112782
WillisTowersWatson,92,27,65,29.347826086956523,-1327000.0,-14423.91304347826
UnitedRentals,92,30,62,32.608695652173914,-1357714.2857142854,-14757.763975155276
Deere,79,25,54,31.645569620253166,-1192328.5714285735,-15092.766726943968
S&P,82,23,59,28.04878048780488,-1239185.7142857192,-15112.020905923406
LithiaMotors,103,31,72,30.097087378640776,-1583171.4285714282,-15370.59639389736
Tesla_turbo,99,30,69,30.303030303030305,-1528328.571428572,-15437.662337662345
Facebook_turbo,95,29,66,30.526315789473685,-1519214.2857142831,-15991.729323308244
MartinMarietta,93,30,63,32.25806451612903,-1564071.4285714237,-16817.972350230364
EU50-MAR26,101,34,67,33.663366336633665,-1769185.7142857201,-17516.690240452674
FRA40-JAN26,85,30,55,35.294117647058826,-1527128.5714285641,-17966.21848739487
GeneralElec,85,20,65,23.52941176470588,-1560442.8571428522,-18358.151260504143
FRA40Cash,86,31,55,36.04651162790697,-1613085.7142858035,-18756.810631230273
Costco,88,24,64,27.27272727272727,-1681771.4285714296,-19111.038961038972
Ameriprise,87,27,60,31.03448275862069,-1679742.8571428547,-19307.389162561547
Mettler-Toledo,94,30,64,31.914893617021278,-1841385.714285708,-19589.209726443703
UltaBeauty,81,21,60,25.925925925925924,-1780828.5714285716,-21985.537918871254
EU50Cash,102,32,70,31.372549019607842,-2394857.142857055,-23478.991596637796
Parker-Hannifin,108,31,77,28.703703703703702,-2550514.285714283,-23615.873015872992
Quanta,91,23,68,25.274725274725274,-2552828.5714285695,-28053.061224489775
Blockchain&NFT,100,30,70,30.0,-2896700.0000000107,-28967.000000000106
Monolithic Power,95,32,63,33.68421052631579,-2754542.8571428545,-28995.187969924784
Markel,98,31,67,31.63265306122449,-3267500.0000000107,-33341.836734693985
US30-MAR26,95,34,61,35.78947368421053,-3200928.5714285686,-33693.984962405986
CHN50Cash,116,33,83,28.448275862068968,-3919814.285714281,-33791.502463054145
Applovin,113,30,83,26.548672566371685,-4804842.857142851,-42520.73324905178
AI_INDX,105,32,73,30.476190476190478,-4494299.999999982,-42802.85714285698
Booking,94,31,63,32.97872340425532,-4821442.857142947,-51291.94528875475
Hermes,111,32,79,28.82882882882883,-7094562.857142862,-63914.98069498074
XAUJPY,88,26,62,29.545454545454547,-6773971.428571423,-76976.94805194798
ChinaHCash,98,29,69,29.591836734693878,-7716071.428571463,-78735.42274052513
ETHGBP,88,21,67,23.863636363636363,-7438057.142857129,-84523.37662337646
SpainCash,80,28,52,35.0,-7137142.857142856,-89214.28571428571
ETHUSD,87,22,65,25.287356321839084,-9192085.714285702,-105656.15763546784
FAANGs_10,114,37,77,32.45614035087719,-12452199.99999999,-109229.82456140342
ETHEUR,88,21,67,23.863636363636363,-9652400.000000035,-109686.36363636404
JP225-MAR26,85,30,55,35.294117647058826,-14227142.857142847,-167378.1512605041
NVR,87,28,59,32.18390804597701,-20029042.85714289,-230218.88341543553
HK50Cash,109,30,79,27.522935779816514,-42388571.42857144,-388885.9764089123
BTCJPY,89,32,57,35.95505617977528,-45196285.7142857,-507823.43499197415
