strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Accumulation/Distribution,D1,12.780539317018041,12.519715558683947,9,77.77777777777779,1.7030287423489245,0.026151252841756786,False,
Chaikin Money Flow,M15,0.0,0.0,0,0.0,0.0,1.0,False,
Chaikin Money Flow,H1,0.0,0.0,0,0.0,0.0,1.0,False,
Chaikin Money Flow,H4,0.0,0.0,0,0.0,0.0,1.0,False,
Chaikin Money Flow,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Large Candle + Volume,M15,-0.9053005177941392,-79.37494879023096,1161,46.85615848406546,87.45908280445553,0.026169882946111844,False,
Large Candle + Volume,H1,0.6136945466015624,53.90316690311745,306,51.307189542483655,62.26583477117654,0.2500451752683758,False,
Large Candle + Volume,H4,-1.2351927243170016,-18.690199570132027,80,43.75,34.650951426660306,0.24561152429095778,False,
Large Candle + Volume,D1,1.218286355152674,0.7318227774061415,3,66.66666666666666,4.2482117612086405,0.4617400922336366,False,
On-Balance Volume,M15,-0.4499900021829184,-80.08264577989326,2002,37.96203796203797,135.38115539902353,0.10246914444142186,False,
On-Balance Volume,H1,0.49156224512203917,56.7495694987185,501,41.51696606786427,76.02588896920707,0.24450070322522005,False,
On-Balance Volume,H4,0.597405934925705,9.610234363320725,133,41.35338345864661,18.91399622419218,0.3330887790002419,False,
On-Balance Volume,D1,-14.43656269901409,-18.853633838721805,16,12.5,19.81457921990065,0.0015401174876838875,False,
VWAP Deviation,M15,-0.7897608758518051,-6.521274141897066,77,27.27272727272727,19.39965968920533,0.332862869949622,False,
VWAP Deviation,H1,1.1262070503067252,14.988659125019222,113,31.858407079646017,13.386162260088804,0.2271723775460036,False,
VWAP Deviation,H4,-0.9009605436846992,-6.491150169147186,72,31.944444444444443,15.482787192510386,0.3169787285483204,False,
VWAP Deviation,D1,16.63325765125048,21.252744859144222,19,89.47368421052632,2.015961966992854,0.00015623055766155966,False,
Volume Divergence,M15,-0.6534563779530299,-95.29057978852894,3230,42.38390092879257,121.527255895137,0.009695246403781048,False,
Volume Divergence,H1,-0.3306769902613202,-39.488319518453494,911,42.590559824368825,96.56798019981113,0.26495538582432043,False,
Volume Divergence,H4,-1.4618749872705041,-40.03651981952512,282,39.71631205673759,43.2236502675499,0.0618931178482754,False,
Volume Divergence,D1,2.1144367816073033,6.489440999091603,25,52.0,7.31339442562783,0.2601307404828135,False,
Volume Profile,M15,0.7756913528777951,313.8827504979181,1652,40.375302663438255,104.7811513261291,0.02362898512003943,False,
Volume Profile,H1,0.7531325299858145,62.63607758534546,686,45.33527696793003,30.93950910467167,0.1073862668873374,False,
Volume Profile,H4,2.0621197060510634,43.2882006042091,212,55.660377358490564,18.212989577321622,0.030271679269299134,True,
Volume Profile,D1,6.919923214083316,14.709309748919985,30,76.66666666666667,2.0043763621153445,0.012968613882567261,True,
VSA,M15,0.0,0.0,0,0.0,0.0,1.0,False,The truth value of a Series is ambiguous. Use a.em
VSA,H1,0.0,0.0,0,0.0,0.0,1.0,False,The truth value of a Series is ambiguous. Use a.em
VSA,H4,0.0,0.0,0,0.0,0.0,1.0,False,The truth value of a Series is ambiguous. Use a.em
VSA,D1,0.0,0.0,0,0.0,0.0,1.0,False,The truth value of a Series is ambiguous. Use a.em
Volume MACD,M15,0.0,0.0,0,0.0,0.0,1.0,False,
Volume MACD,H1,0.0,0.0,0,0.0,0.0,1.0,False,
Volume MACD,H4,0.0,0.0,0,0.0,0.0,1.0,False,
Volume MACD,D1,0.0,0.0,0,0.0,0.0,1.0,False,
ATR Regime Switch,M15,0.2972635039814569,10.663838322123139,176,36.36363636363637,47.35360363689477,0.40232089422843176,False,
ATR Regime Switch,H1,9.093117767031517,53.11678556045714,24,62.5,7.091290200754866,0.005739790775044326,False,
ATR Regime Switch,H4,799.0727206949655,8.284950423096998,2,100.0,0.0,1.0,False,
ATR Regime Switch,D1,1.9322907941738232,0.6881355485833228,2,50.0,2.4825805780329757,1.0,False,
Day of Week Effect,M15,-0.26803418254817146,-22.74383264616947,861,36.23693379790941,48.509133075254596,0.31030941504731413,False,
Day of Week Effect,H1,-0.21203585805817177,-5.317391342088504,242,36.36363636363637,28.81975845058574,0.4179532944887963,False,
