strategy,symbol,timeframe,sharpe_ratio,sortino_ratio,win_rate,total_trades,total_return_pct,max_drawdown_pct,profit_factor,avg_win,avg_loss,avg_rr,expectancy,p_value
EMA Cross 21/50,EURUSD,M30,4.143141265835688,12.924380054218416,0.49333333333333335,75,86.54360914106091,26.724074027421267,1.7877117800809457,530.8397552166589,289.1239481292181,1.8360283146777272,115.39147885474793,0.013873002831420156
Opening Range Breakout,USDCAD,H1,3.9648248496934606,8.465091626793358,0.5431034482758621,116,118.10677395408756,20.130200284198107,1.738411929020333,441.3551992096861,301.7867953736124,1.4624735275885343,101.81618444317905,0.0042408392154284855
High/Low Breakout 50,SILVER,M30,3.6658153814617487,11.435455947518134,0.38235294117647056,136,137.67697166678423,22.8195918128188,1.7625941071195006,611.951255186845,214.92581075044671,2.8472674038084236,101.23306740204714,0.004103278522176363
High/Low Breakout 50,GOLD,H1,3.337508821643062,11.124991656821416,0.4084507042253521,71,54.649737320713264,10.016828613785401,1.609726156460734,497.51623332194066,213.4046912920227,2.3313275369431317,76.97146101508909,0.041471926310483284
High/Low Breakout 30,SILVER,H1,3.282177273452995,12.239643570895028,0.38636363636363635,88,63.83773094231372,19.495993926594657,1.6377041544610136,482.18614727367884,185.3806650569206,2.6010595394380798,72.54287607081099,0.028526488140210964
High/Low Breakout 30,SILVER,M30,3.248873313638422,10.434278885009064,0.3696969696969697,165,153.5355401054626,17.894919945581243,1.6794993584031315,622.1138604288315,217.26337957319672,2.8634087421955035,93.05184248815914,0.00479674666651614
High/Low Breakout 10,SILVER,H1,2.793851447573981,9.309114467729186,0.3620689655172414,116,73.43207358394041,15.333026865728005,1.5274702299449403,506.30393525130887,188.12916111028298,2.6912570718077515,63.30351171029338,0.030817230462630633
Stochastic Momentum,BTCUSD,M30,2.3038924370048646,8.43607484917684,0.42105263157894735,209,162.21955610523108,74.82124220312913,1.385415923021518,662.6299450137444,347.84693843542493,1.9049468941545866,77.61701249054107,0.01877548699779587
High/Low Breakout 20,SILVER,M30,2.120519891001082,5.971235771391872,0.35714285714285715,182,106.73926657507822,26.902161486582443,1.3939557850458468,581.0484861569527,231.57457215977868,2.509120413082524,58.64794866762537,0.03699044474204366
Opening Range Breakout,SILVER,M30,2.109581506007006,3.529934268907893,0.502283105022831,219,147.64664580148326,33.76525616633706,1.3661466328750087,500.81020678709564,369.9491574902037,1.353727118030691,67.41855972670461,0.02551082547844421
S/R Bounce,GBPJPY,M15,1.9803069924374637,4.137682520679859,0.45483870967741935,620,732.0471852123238,132.01897280521828,1.3679065200531346,965.1813062872541,588.6876031117553,1.6395475311275172,118.07212664714899,0.0009992214420482717
Stochastic Reversal,GBPJPY,M15,1.89790130085594,3.3285072180659934,0.4711111111111111,450,264.5730576261626,65.18102877056948,1.3211683151333091,513.3755862392361,346.12738873992356,1.483198391517584,58.79401280581385,0.0058184019981223885
BB Reversal,GBPJPY,M15,1.4549732757706444,3.3849785597750084,0.45180722891566266,498,163.3623265350313,42.54904773553797,1.2396235132042461,375.6036170363718,249.72374058491033,1.5040765293544855,32.80368002711475,0.02077460271554238
S/R Bounce,EURGBP,M15,1.417751917509651,2.881462910366496,0.45131086142322097,534,235.07669088237168,86.97535262649367,1.2418750817167337,500.81728554730114,332.84005728993975,1.504678522246002,43.39855623772888,0.01985164077410021
BB Reversal,NZDUSD,M5,1.3981367125216715,2.4051817428453393,0.4344205412907703,1441,1370.0287640664642,188.5855281395061,1.3000149500963836,948.332866426153,563.7697505878091,1.6821279705719985,93.11868678258662,0.0004262624193198109
Volume Breakout,GOLD,M5,1.3496785291820492,3.801824311900709,0.3575418994413408,537,313.20534953230185,126.46143158575065,1.2289977597691304,875.4831663686869,396.4412550421961,2.208355349585156,58.32501853487943,0.02476870489550483
BB Reversal,AUDUSD,M5,1.2819899720719756,2.029666905379302,0.44620689655172413,1450,2593.1674908001037,455.6063049320655,1.2813983924386996,1825.1091840714266,1150.4730249865202,1.5863989371613567,177.25227795174987,0.001075392901181504
BB Reversal,USDCHF,M15,1.2511597040828457,2.9164263796452623,0.45681381957773515,521,160.3012325657913,88.28544827927097,1.2072369617042076,392.360439029393,273.3274248495279,1.4354960511020622,30.767990895545353,0.036436157613616495
RSI Extreme Reversal,EURGBP,M5,1.2377269534552187,2.615346000110088,0.4457953394123607,987,459.5112763501528,89.63319695864811,1.223063203590256,572.6172964483935,376.60051700599234,1.5204899371906127,46.5563603191645,0.007263461511340335
BB Reversal,EURGBP,M5,1.2094993969334984,1.8670116304755133,0.4596829772570641,1451,1124.557072417714,152.9106321895124,1.2816002945658795,767.3176023898775,510.671526281684,1.5025658625944787,76.79832128822056,0.0018862620273401953
S/R Bounce,EURJPY,M15,1.1380565625747798,2.0819001956911936,0.43221690590111644,627,254.48247627281089,85.26936283987067,1.185744991103621,599.4635466027663,384.84936376985553,1.5576576266896276,40.587316789922056,0.0366714818415484
BB Reversal,GBPJPY,M5,1.0331349882298804,2.085380177436936,0.43727598566308246,1395,536.1651526073462,89.45782259178654,1.1920612343120527,545.5412550949173,355.62248451868146,1.5340460146474768,38.43477796468434,0.007614298825661462
BB Reversal,USDCHF,M5,1.0095945272457,2.2684452387128378,0.41498371335504886,1535,386.12927491480605,86.93004842072769,1.1925115478677575,375.49063038665395,224.10570286571834,1.6755068058738505,24.71701002142248,0.006423202149298108
Stochastic Momentum,NZDUSD,M5,0.8763416563550736,1.6840145746851165,0.37300177619893427,1126,665.7262328136062,236.41491511888103,1.164337515714395,1123.02274853952,574.6055760357984,1.9544236870920215,58.612804356416234,0.0321718887943962
S/R Bounce,AUDUSD,M5,0.8672037836100822,1.2378827330388316,0.4358974358974359,1794,2408.9456616912685,914.3593174131386,1.1896528678011777,1932.329091885838,1257.6106769164348,1.5365081796409052,132.87588897173544,0.010412468806302934
RSI Extreme Reversal,USDCHF,M5,0.8604345881484863,2.366383704376979,0.43017241379310345,1160,445.24803865355915,210.42038789436708,1.1353555504826658,748.4405124078206,497.6505473920523,1.503947933605294,38.3834516080654,0.03262680645401459
BB Reversal,EURJPY,M5,0.850353111549172,1.7369868617894353,0.43605442176870746,1470,311.33920402137693,126.67292079885242,1.1420560250141134,390.4842597782843,264.6938286422012,1.475229935587655,20.99947385952069,0.02011986178196921
BB Reversal,USDJPY,M5,0.671692696344385,1.3587492834989847,0.4126565589980224,1517,395.56064277434285,107.21277077395217,1.1123172136462733,625.7791340094394,396.600983797832,1.5778557279838503,25.290877604509404,0.04983340452802019
Range Trading,EURGBP,M5,0.6414582019321061,1.2481674697300364,0.3551791169119689,3601,634.9850256200702,121.99198522199556,1.1577968163569445,364.27305962118743,177.74149323917476,2.049454255068116,14.77075699920438,0.00768953742762441
Range Trading,AUDUSD,M5,0.5069501567280076,0.9803682304571567,0.3444743935309973,3710,1472.5699145457477,514.6772502962599,1.1238617096854207,1045.492385399558,498.692230321334,2.096468165798155,33.23982867901634,0.02593229135183961
Range Trading,NZDUSD,M5,0.4848061088320418,0.9200140308841156,0.34684802511116924,3823,2435.7699797097807,1262.7530801718287,1.122881717946169,1678.570112650702,813.3799636454056,2.0636973956521967,50.94799899352688,0.02954755678364214
